"","superkingdom","clade","kingdom","phylum","class","order","family","subfamily","genus","species","taxID","length","unique_id"
"Eptesicus fuscus gammaherpesvirus_TAXID_No_2035399","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Gammaherpesvirinae","unknown_genus_of_Gammaherpesvirinae","Eptesicus fuscus gammaherpesvirus","2035399",NA,"Eptesicus fuscus gammaherpesvirus_TAXID_No_2035399"
"no_species_TAXID_No_TO_sample_contig_217127","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_217127",NA,"no_species_TAXID_No_TO_sample_contig_217127"
"no_species_TAXID_No_TO_sample_contig_219912","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_219912",NA,"no_species_TAXID_No_TO_sample_contig_219912"
"no_species_TAXID_No_TO_sample_contig_225515","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_225515",NA,"no_species_TAXID_No_TO_sample_contig_225515"
"no_species_TAXID_No_TO_sample_contig_227018","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_227018",NA,"no_species_TAXID_No_TO_sample_contig_227018"
"no_species_TAXID_No_TO_sample_contig_227227","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_227227",NA,"no_species_TAXID_No_TO_sample_contig_227227"
"no_species_TAXID_No_TO_sample_contig_229627","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_229627",NA,"no_species_TAXID_No_TO_sample_contig_229627"
"no_species_TAXID_No_TO_sample_contig_234492","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_234492",NA,"no_species_TAXID_No_TO_sample_contig_234492"
"Inovirus M13_TAXID_No_2847073","Viruses","Monodnaviria","Loebvirae","Hofneiviricota","Faserviricetes","Tubulavirales","Inoviridae","unknown_subfamily_of_Inoviridae","Inovirus","Inovirus M13","2847073",NA,"Inovirus M13_TAXID_No_2847073"
"Pandoravirus inopinatum_TAXID_No_1605721","Viruses","unknown_clade_of_Viruses","unknown_kingdom_of_Viruses","unknown_phylum_of_Viruses","unknown_class_of_Viruses","unknown_order_of_Viruses","unknown_family_of_Viruses","unknown_subfamily_of_Viruses","Pandoravirus","Pandoravirus inopinatum","1605721",NA,"Pandoravirus inopinatum_TAXID_No_1605721"
"no_species_TAXID_No_TO_sample_contig_238471","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_238471",NA,"no_species_TAXID_No_TO_sample_contig_238471"
"Human endogenous retrovirus W_TAXID_No_62805","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","unknown_subfamily_of_Retroviridae","unknown_genus_of_Retroviridae","Human endogenous retrovirus W","62805",NA,"Human endogenous retrovirus W_TAXID_No_62805"
"no_species_TAXID_No_TO_sample_contig_239850","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_239850",NA,"no_species_TAXID_No_TO_sample_contig_239850"
"no_species_TAXID_No_TO_sample_contig_239899","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_239899",NA,"no_species_TAXID_No_TO_sample_contig_239899"
"Prunella montanella Genomoviridae sp._TAXID_No_2814991","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily_of_Genomoviridae","unknown_genus_of_Genomoviridae","Prunella montanella Genomoviridae sp.","2814991",NA,"Prunella montanella Genomoviridae sp._TAXID_No_2814991"
"unknown_species_of_Skunavirus_TAXID_No_1623305","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Skunavirus","unknown_species_of_Skunavirus","1623305",NA,"unknown_species_of_Skunavirus_TAXID_No_1623305"
"no_species_TAXID_No_TO_sample_contig_245475","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_245475",NA,"no_species_TAXID_No_TO_sample_contig_245475"
"no_species_TAXID_No_TO_sample_contig_255487","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_255487",NA,"no_species_TAXID_No_TO_sample_contig_255487"
"no_species_TAXID_No_TO_sample_contig_259209","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_259209",NA,"no_species_TAXID_No_TO_sample_contig_259209"
"Phietavirus pv187_TAXID_No_2908096","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","Azeredovirinae","Phietavirus","Phietavirus pv187","2908096",NA,"Phietavirus pv187_TAXID_No_2908096"
"no_species_TAXID_No_TO_sample_contig_263811","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_263811",NA,"no_species_TAXID_No_TO_sample_contig_263811"
"no_species_TAXID_No_TO_sample_contig_265985","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_265985",NA,"no_species_TAXID_No_TO_sample_contig_265985"
"no_species_TAXID_No_TO_sample_contig_271316","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_271316",NA,"no_species_TAXID_No_TO_sample_contig_271316"
"no_species_TAXID_No_TO_sample_contig_271439","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_271439",NA,"no_species_TAXID_No_TO_sample_contig_271439"
"no_species_TAXID_No_TO_sample_contig_272635","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_272635",NA,"no_species_TAXID_No_TO_sample_contig_272635"
"no_species_TAXID_No_TO_sample_contig_274005","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_274005",NA,"no_species_TAXID_No_TO_sample_contig_274005"
"no_species_TAXID_No_TO_sample_contig_279500","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_279500",NA,"no_species_TAXID_No_TO_sample_contig_279500"
"no_species_TAXID_No_TO_sample_contig_286593","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_286593",NA,"no_species_TAXID_No_TO_sample_contig_286593"
"Bracoviriform indiense_TAXID_No_116759","Viruses","unknown_clade_of_Viruses","unknown_kingdom_of_Viruses","unknown_phylum_of_Viruses","unknown_class_of_Viruses","unknown_order_of_Viruses","Polydnaviriformidae","unknown_subfamily_of_Polydnaviriformidae","Bracoviriform","Bracoviriform indiense","116759",NA,"Bracoviriform indiense_TAXID_No_116759"
"no_species_TAXID_No_TO_sample_contig_292388","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_292388",NA,"no_species_TAXID_No_TO_sample_contig_292388"
"no_species_TAXID_No_TO_sample_contig_300785","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_300785",NA,"no_species_TAXID_No_TO_sample_contig_300785"
"no_species_TAXID_No_TO_sample_contig_305295","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_305295",NA,"no_species_TAXID_No_TO_sample_contig_305295"
"Siphoviridae sp. ct6662_TAXID_No_2828147","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Siphoviridae sp. ct6662","2828147",NA,"Siphoviridae sp. ct6662_TAXID_No_2828147"
"no_species_TAXID_No_TO_sample_contig_310895","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_310895",NA,"no_species_TAXID_No_TO_sample_contig_310895"
"no_species_TAXID_No_TO_sample_contig_311680","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_311680",NA,"no_species_TAXID_No_TO_sample_contig_311680"
"no_species_TAXID_No_TO_sample_contig_311744","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_311744",NA,"no_species_TAXID_No_TO_sample_contig_311744"
"Skunavirus sv37201_TAXID_No_2029661","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Skunavirus","Skunavirus sv37201","2029661",NA,"Skunavirus sv37201_TAXID_No_2029661"
"no_species_TAXID_No_TO_sample_contig_324281","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_324281",NA,"no_species_TAXID_No_TO_sample_contig_324281"
"Skunavirus sv16802_TAXID_No_2029659","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Skunavirus sv16802","2029659",NA,"Skunavirus sv16802_TAXID_No_2029659"
"no_species_TAXID_No_TO_sample_contig_327922","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_327922",NA,"no_species_TAXID_No_TO_sample_contig_327922"
"no_species_TAXID_No_TO_sample_contig_331568","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_331568",NA,"no_species_TAXID_No_TO_sample_contig_331568"
"Murine leukemia virus_TAXID_No_11786","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Orthoretrovirinae","Gammaretrovirus","Murine leukemia virus","11786",NA,"Murine leukemia virus_TAXID_No_11786"
"no_species_TAXID_No_TO_sample_contig_337144","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_337144",NA,"no_species_TAXID_No_TO_sample_contig_337144"
"no_species_TAXID_No_TO_sample_contig_337411","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_337411",NA,"no_species_TAXID_No_TO_sample_contig_337411"
"no_species_TAXID_No_TO_sample_contig_337898","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_337898",NA,"no_species_TAXID_No_TO_sample_contig_337898"
"Lactococcus phage FB3_TAXID_No_2777326","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Skunavirus","Lactococcus phage FB3","2777326",NA,"Lactococcus phage FB3_TAXID_No_2777326"
"no_species_TAXID_No_TO_sample_contig_340943","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_340943",NA,"no_species_TAXID_No_TO_sample_contig_340943"
"no_species_TAXID_No_TO_sample_contig_340976","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_340976",NA,"no_species_TAXID_No_TO_sample_contig_340976"
"no_species_TAXID_No_TO_sample_contig_350198","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_350198",NA,"no_species_TAXID_No_TO_sample_contig_350198"
"Human papillomavirus_TAXID_No_10566","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","unknown_subfamily_of_Papillomaviridae","unknown_genus_of_Papillomaviridae","Human papillomavirus","10566",NA,"Human papillomavirus_TAXID_No_10566"
"no_species_TAXID_No_TO_sample_contig_355152","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_355152",NA,"no_species_TAXID_No_TO_sample_contig_355152"
"no_species_TAXID_No_TO_sample_contig_357706","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_357706",NA,"no_species_TAXID_No_TO_sample_contig_357706"
"no_species_TAXID_No_TO_sample_contig_357835","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_357835",NA,"no_species_TAXID_No_TO_sample_contig_357835"
"no_species_TAXID_No_TO_sample_contig_359045","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_359045",NA,"no_species_TAXID_No_TO_sample_contig_359045"
"no_species_TAXID_No_TO_sample_contig_359733","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_359733",NA,"no_species_TAXID_No_TO_sample_contig_359733"
"no_species_TAXID_No_TO_sample_contig_362289","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_362289",NA,"no_species_TAXID_No_TO_sample_contig_362289"
"no_species_TAXID_No_TO_sample_contig_362482","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_362482",NA,"no_species_TAXID_No_TO_sample_contig_362482"
"Megaviridae environmental sample_TAXID_No_1737588","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Imitervirales","Mimiviridae","unknown_subfamily_of_Mimiviridae","unknown_genus_of_Mimiviridae","Megaviridae environmental sample","1737588",NA,"Megaviridae environmental sample_TAXID_No_1737588"
"no_species_TAXID_No_TO_sample_contig_363914","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_363914",NA,"no_species_TAXID_No_TO_sample_contig_363914"
"Phimunavirus fM1_TAXID_No_1211386","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","Autographiviridae","Corkvirinae","Phimunavirus","Phimunavirus fM1","1211386",NA,"Phimunavirus fM1_TAXID_No_1211386"
"no_species_TAXID_No_TO_sample_contig_366404","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_366404",NA,"no_species_TAXID_No_TO_sample_contig_366404"
"Streptococcus phage CHPC577_TAXID_No_1913081","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Streptococcus phage CHPC577","1913081",NA,"Streptococcus phage CHPC577_TAXID_No_1913081"
"no_species_TAXID_No_TO_sample_contig_370083","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_370083",NA,"no_species_TAXID_No_TO_sample_contig_370083"
"no_species_TAXID_No_TO_sample_contig_371065","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_371065",NA,"no_species_TAXID_No_TO_sample_contig_371065"
"no_species_TAXID_No_TO_sample_contig_374946","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_374946",NA,"no_species_TAXID_No_TO_sample_contig_374946"
"no_species_TAXID_No_TO_sample_contig_383039","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_383039",NA,"no_species_TAXID_No_TO_sample_contig_383039"
"no_species_TAXID_No_TO_sample_contig_383709","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_383709",NA,"no_species_TAXID_No_TO_sample_contig_383709"
"no_species_TAXID_No_TO_sample_contig_385103","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_385103",NA,"no_species_TAXID_No_TO_sample_contig_385103"
"no_species_TAXID_No_TO_sample_contig_387545","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_387545",NA,"no_species_TAXID_No_TO_sample_contig_387545"
"no_species_TAXID_No_TO_sample_contig_388872","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_388872",NA,"no_species_TAXID_No_TO_sample_contig_388872"
"no_species_TAXID_No_TO_sample_contig_390462","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_390462",NA,"no_species_TAXID_No_TO_sample_contig_390462"
"no_species_TAXID_No_TO_sample_contig_391657","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_391657",NA,"no_species_TAXID_No_TO_sample_contig_391657"
"no_species_TAXID_No_TO_sample_contig_395431","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_395431",NA,"no_species_TAXID_No_TO_sample_contig_395431"
"no_species_TAXID_No_TO_sample_contig_395954","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_395954",NA,"no_species_TAXID_No_TO_sample_contig_395954"
"no_species_TAXID_No_TO_sample_contig_398485","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_398485",NA,"no_species_TAXID_No_TO_sample_contig_398485"
"no_species_TAXID_No_TO_sample_contig_399294","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_399294",NA,"no_species_TAXID_No_TO_sample_contig_399294"
"no_species_TAXID_No_TO_sample_contig_399449","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_399449",NA,"no_species_TAXID_No_TO_sample_contig_399449"
"no_species_TAXID_No_TO_sample_contig_402237","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_402237",NA,"no_species_TAXID_No_TO_sample_contig_402237"
"no_species_TAXID_No_TO_sample_contig_402641","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_402641",NA,"no_species_TAXID_No_TO_sample_contig_402641"
"no_species_TAXID_No_TO_sample_contig_413743","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_413743",NA,"no_species_TAXID_No_TO_sample_contig_413743"
"Lactococcus phage 936 group phage PhiG_TAXID_No_1636579","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Skunavirus","Lactococcus phage 936 group phage PhiG","1636579",NA,"Lactococcus phage 936 group phage PhiG_TAXID_No_1636579"
"no_species_TAXID_No_TO_sample_contig_416245","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_416245",NA,"no_species_TAXID_No_TO_sample_contig_416245"
"no_species_TAXID_No_TO_sample_contig_416376","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_416376",NA,"no_species_TAXID_No_TO_sample_contig_416376"
"Ichnoviriform fumiferanae_TAXID_No_419435","Viruses","unknown_clade_of_Viruses","unknown_kingdom_of_Viruses","unknown_phylum_of_Viruses","unknown_class_of_Viruses","unknown_order_of_Viruses","Polydnaviriformidae","unknown_subfamily_of_Polydnaviriformidae","Ichnoviriform","Ichnoviriform fumiferanae","419435",NA,"Ichnoviriform fumiferanae_TAXID_No_419435"
"no_species_TAXID_No_TO_sample_contig_419766","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_419766",NA,"no_species_TAXID_No_TO_sample_contig_419766"
"Human endogenous retrovirus_TAXID_No_210769","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","unknown_subfamily_of_Retroviridae","unknown_genus_of_Retroviridae","Human endogenous retrovirus","210769",NA,"Human endogenous retrovirus_TAXID_No_210769"
"no_species_TAXID_No_TO_sample_contig_443484","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_443484",NA,"no_species_TAXID_No_TO_sample_contig_443484"
"no_species_TAXID_No_TO_sample_contig_454459","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_454459",NA,"no_species_TAXID_No_TO_sample_contig_454459"
"Wumivirus millepedae_TAXID_No_1608125","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Wupedeviridae","unknown_subfamily_of_Wupedeviridae","Wumivirus","Wumivirus millepedae","1608125",NA,"Wumivirus millepedae_TAXID_No_1608125"
"BeAn 58058 virus_TAXID_No_67082","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082",NA,"BeAn 58058 virus_TAXID_No_67082"
"no_species_TAXID_No_TO_sample_contig_461524","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_461524",NA,"no_species_TAXID_No_TO_sample_contig_461524"
"no_species_TAXID_No_TO_sample_contig_462959","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_462959",NA,"no_species_TAXID_No_TO_sample_contig_462959"
"Roseolovirus humanbeta7_TAXID_No_10372","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Betaherpesvirinae","Roseolovirus","Roseolovirus humanbeta7","10372",NA,"Roseolovirus humanbeta7_TAXID_No_10372"
"Skunavirus CHPC958_TAXID_No_2675254","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","Skunavirus","Skunavirus CHPC958","2675254",NA,"Skunavirus CHPC958_TAXID_No_2675254"
"no_species_TAXID_No_TO_sample_contig_468935","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_468935",NA,"no_species_TAXID_No_TO_sample_contig_468935"
"Biavirus raunefjordenense_TAXID_No_1499987","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Imitervirales","Schizomimiviridae","unknown_subfamily_of_Schizomimiviridae","Biavirus","Biavirus raunefjordenense","1499987",NA,"Biavirus raunefjordenense_TAXID_No_1499987"
"no_species_TAXID_No_TO_sample_contig_473935","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_473935",NA,"no_species_TAXID_No_TO_sample_contig_473935"
"Streptococcus phage phi-SsuHCJ3_rum_TAXID_No_2664399","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Streptococcus phage phi-SsuHCJ3_rum","2664399",NA,"Streptococcus phage phi-SsuHCJ3_rum_TAXID_No_2664399"
"no_species_TAXID_No_TO_sample_contig_476513","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_476513",NA,"no_species_TAXID_No_TO_sample_contig_476513"
"Quwivirus caviidbeta2_TAXID_No_33706","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Betaherpesvirinae","Quwivirus","Quwivirus caviidbeta2","33706",NA,"Quwivirus caviidbeta2_TAXID_No_33706"
"Gammapapillomavirus 8_TAXID_No_915427","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Firstpapillomavirinae","Gammapapillomavirus","Gammapapillomavirus 8","915427",NA,"Gammapapillomavirus 8_TAXID_No_915427"
"no_species_TAXID_No_TO_sample_contig_487559","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_487559",NA,"no_species_TAXID_No_TO_sample_contig_487559"
"no_species_TAXID_No_TO_sample_contig_490706","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_490706",NA,"no_species_TAXID_No_TO_sample_contig_490706"
"no_species_TAXID_No_TO_sample_contig_493329","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_493329",NA,"no_species_TAXID_No_TO_sample_contig_493329"
"no_species_TAXID_No_TO_sample_contig_497208","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_497208",NA,"no_species_TAXID_No_TO_sample_contig_497208"
"Caudoviricetes sp._TAXID_No_2832643","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order_of_Caudoviricetes","unknown_family_of_Caudoviricetes","unknown_subfamily_of_Caudoviricetes","unknown_genus_of_Caudoviricetes","Caudoviricetes sp.","2832643",NA,"Caudoviricetes sp._TAXID_No_2832643"
"no_species_TAXID_No_TO_sample_contig_504884","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_504884",NA,"no_species_TAXID_No_TO_sample_contig_504884"
"Cytomegalovirus macacinebeta8_TAXID_No_944969","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Betaherpesvirinae","Cytomegalovirus","Cytomegalovirus macacinebeta8","944969",NA,"Cytomegalovirus macacinebeta8_TAXID_No_944969"
