"","superkingdom","clade","kingdom","phylum","class","order","family","subfamily","genus","species","taxID","length"
"TO_sample_contig_189763","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_189763","  281"
"TO_sample_contig_190997","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Bacteriophage sp.","38018","  587"
"TO_sample_contig_191338","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_191338","  476"
"TO_sample_contig_192091","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","Naldaviricetes","Lefavirales","Nudiviridae","unknown_subfamily","Gammanudivirus","Gammanudivirus pemonodonis","1529056","  945"
"TO_sample_contig_193279","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","Polydnaviriformidae","unknown_subfamily","Ichnoviriform","Ichnoviriform fugitivi","265522","  459"
"TO_sample_contig_193882","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  282"
"TO_sample_contig_194517","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_194517","  337"
"TO_sample_contig_195754","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Escherichia phage Tritos","2904713","  327"
"TO_sample_contig_196899","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_196899","  629"
"TO_sample_contig_198412","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_198412","  282"
"TO_sample_contig_200096","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","Herelleviridae","Twortvirinae","unknown_genus","Mammaliicoccus phage vB_MscM-PMS3","2861056","  463"
"TO_sample_contig_202857","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Tospoviridae","unknown_subfamily","Orthotospovirus","Orthotospovirus polygonianuli","3052582","  872"
"TO_sample_contig_203794","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","Mesyanzhinovviridae","unknown_subfamily","unknown_genus","Stenotrophomonas phage vB_SmaS-AXL_3","2740427","  286"
"TO_sample_contig_206188","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Orthoretrovirinae","Gammaretrovirus","Abelson murine leukemia virus","11788","  326"
"TO_sample_contig_206682","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_206682","  373"
"TO_sample_contig_206883","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_206883","  281"
"TO_sample_contig_210534","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_210534","  321"
"TO_sample_contig_213302","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_213302","17945"
"TO_sample_contig_215022","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Gammaherpesvirinae","unknown_genus","Eptesicus fuscus gammaherpesvirus","2035399","  422"
"TO_sample_contig_217127","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_217127","  248"
"TO_sample_contig_217209","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","Naldaviricetes","Lefavirales","Nudiviridae","unknown_subfamily","Gammanudivirus","Gammanudivirus pemonodonis","1529056"," 2495"
"TO_sample_contig_219787","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  386"
"TO_sample_contig_219912","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_219912","  542"
"TO_sample_contig_224605","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082","  823"
"TO_sample_contig_225515","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_225515","  622"
"TO_sample_contig_227018","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_227018","  454"
"TO_sample_contig_227227","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_227227","  281"
"TO_sample_contig_228475","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","unknown_subfamily","Deltapolyomavirus","Deltapolyomavirus sextihominis","746830","  392"
"TO_sample_contig_228597","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Skunavirus","unknown_species","1623305","  517"
"TO_sample_contig_229627","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_229627","  785"
"TO_sample_contig_234492","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_234492","  435"
"TO_sample_contig_234637","Viruses","Monodnaviria","Loebvirae","Hofneiviricota","Faserviricetes","Tubulavirales","Inoviridae","unknown_subfamily","Inovirus","Inovirus M13","2847073"," 1522"
"TO_sample_contig_235460","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","unknown_family","unknown_subfamily","Pandoravirus","Pandoravirus inopinatum","1605721"," 1918"
"TO_sample_contig_238471","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_238471","20287"
"TO_sample_contig_239065","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643","  340"
"TO_sample_contig_239223","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Orthoretrovirinae","Gammaretrovirus","Woolly monkey sarcoma virus","11970","  458"
"TO_sample_contig_239705","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","unknown_subfamily","unknown_genus","Human endogenous retrovirus W","62805","  484"
"TO_sample_contig_239850","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_239850"," 1210"
"TO_sample_contig_239899","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_239899","  273"
"TO_sample_contig_240499","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","unknown_genus","Prunella montanella Genomoviridae sp.","2814991","  313"
"TO_sample_contig_241278","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","unknown_subfamily","Deltapolyomavirus","Deltapolyomavirus sextihominis","746830","  448"
"TO_sample_contig_242249","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Gammaherpesvirinae","unknown_genus","Eptesicus fuscus gammaherpesvirus","2035399","  269"
"TO_sample_contig_243546","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082"," 2118"
"TO_sample_contig_244388","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Ceduovirus","Ceduovirus CHPC1170","2675240","  301"
"TO_sample_contig_244429","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Skunavirus","unknown_species","1623305"," 1113"
"TO_sample_contig_245475","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_245475","  443"
"TO_sample_contig_253611","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  281"
"TO_sample_contig_255487","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_255487","  533"
"TO_sample_contig_259209","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_259209","10179"
"TO_sample_contig_260187","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643","  786"
"TO_sample_contig_260823","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Bacteriophage sp.","38018","12193"
"TO_sample_contig_263336","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","Azeredovirinae","Phietavirus","Phietavirus pv187","2908096","  542"
"TO_sample_contig_263811","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_263811","  612"
"TO_sample_contig_265985","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_265985","  753"
"TO_sample_contig_271316","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_271316"," 1215"
"TO_sample_contig_271439","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_271439"," 3603"
"TO_sample_contig_272635","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_272635","  338"
"TO_sample_contig_273836","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","Polydnaviriformidae","unknown_subfamily","Bracoviriform","Bracoviriform facetosae","2083300"," 6161"
"TO_sample_contig_274005","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_274005","  281"
"TO_sample_contig_274041","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  270"
"TO_sample_contig_274394","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  221"
"TO_sample_contig_277031","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  281"
"TO_sample_contig_278577","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae","unknown_subfamily","Prasinovirus","Ostreococcus lucimarinus virus 2","1663208"," 4223"
"TO_sample_contig_279500","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_279500","  346"
"TO_sample_contig_283581","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","Polydnaviriformidae","unknown_subfamily","Bracoviriform","Bracoviriform congregatae","39640","  873"
"TO_sample_contig_284064","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  291"
"TO_sample_contig_284092","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643","  363"
"TO_sample_contig_284653","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  283"
"TO_sample_contig_286593","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_286593"," 1781"
"TO_sample_contig_287838","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","Polydnaviriformidae","unknown_subfamily","Bracoviriform","Bracoviriform indiense","116759","  561"
"TO_sample_contig_288297","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643","  407"
"TO_sample_contig_290855","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082","  347"
"TO_sample_contig_292388","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_292388","  281"
"TO_sample_contig_294054","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643"," 1867"
"TO_sample_contig_294666","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","unknown_family","unknown_subfamily","Pandoravirus","Pandoravirus macleodensis","2107707","  431"
"TO_sample_contig_296361","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643"," 2184"
"TO_sample_contig_300785","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_300785","  646"
"TO_sample_contig_305295","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_305295","  386"
"TO_sample_contig_306664","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","Firstpapillomavirinae","Alphapapillomavirus","Alphapapillomavirus 9","333760","  208"
"TO_sample_contig_306846","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Siphoviridae sp. ct6662","2828147"," 3644"
"TO_sample_contig_310321","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Sextaecvirus","unknown_species","1922243","  665"
"TO_sample_contig_310895","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_310895"," 2313"
"TO_sample_contig_311680","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_311680","  282"
"TO_sample_contig_311744","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_311744","  281"
"TO_sample_contig_316778","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Skunavirus","Skunavirus sv37201","2029661","  468"
"TO_sample_contig_317300","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","Polydnaviriformidae","unknown_subfamily","Ichnoviriform","Ichnoviriform fugitivi","265522","  361"
"TO_sample_contig_319383","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643","  361"
"TO_sample_contig_324281","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_324281","  325"
"TO_sample_contig_324352","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","Aliceevansviridae","unknown_subfamily","Moineauvirus","unknown_species","1623304","  359"
"TO_sample_contig_324990","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Skunavirus sv16802","2029659"," 2594"
"TO_sample_contig_326413","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Bacteriophage sp.","38018"," 1051"
"TO_sample_contig_326529","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Nyamiviridae","unknown_subfamily","Nyavirus","Nyavirus nyamaniniense","644610","  448"
"TO_sample_contig_326710","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Streptococcus phage MissG2","2911161","  347"
"TO_sample_contig_327922","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_327922","  341"
"TO_sample_contig_329896","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","Aliceevansviridae","unknown_subfamily","Moineauvirus","Streptococcus phage SW6","2419655","  419"
"TO_sample_contig_331568","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_331568","  360"
"TO_sample_contig_332678","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082","  605"
"TO_sample_contig_335676","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Ortervirales","Retroviridae","Orthoretrovirinae","Gammaretrovirus","Murine leukemia virus","11786","  482"
"TO_sample_contig_337144","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_337144","  385"
"TO_sample_contig_337411","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_337411","  365"
"TO_sample_contig_337898","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_337898","  495"
"TO_sample_contig_338732","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Skunavirus","Lactococcus phage FB3","2777326"," 1536"
"TO_sample_contig_340943","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_340943","  476"
"TO_sample_contig_340976","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_340976"," 1381"
"TO_sample_contig_343228","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643","  331"
"TO_sample_contig_350198","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_350198","  434"
"TO_sample_contig_350911","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643"," 1100"
"TO_sample_contig_351245","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","Aliceevansviridae","unknown_subfamily","Moineauvirus","unknown_species","1623304","  368"
"TO_sample_contig_353649","Viruses","unknown_clade","unknown_kingdom","unknown_phylum","unknown_class","unknown_order","Polydnaviriformidae","unknown_subfamily","Bracoviriform","Bracoviriform facetosae","2083300","  357"
"TO_sample_contig_354705","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Zurhausenvirales","Papillomaviridae","unknown_subfamily","unknown_genus","Human papillomavirus","10566"," 1054"
"TO_sample_contig_355152","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_355152","  491"
"TO_sample_contig_357132","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","Sextaecvirus","unknown_species","1922243"," 1008"
"TO_sample_contig_357706","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_357706","  340"
"TO_sample_contig_357835","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_357835","  366"
"TO_sample_contig_359045","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_359045"," 3055"
"TO_sample_contig_359733","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_359733","  801"
"TO_sample_contig_362289","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_362289","  281"
"TO_sample_contig_362482","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_362482","  248"
"TO_sample_contig_363147","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Imitervirales","Mimiviridae","unknown_subfamily","unknown_genus","Megaviridae environmental sample","1737588"," 5892"
"TO_sample_contig_363914","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_363914","  281"
"TO_sample_contig_366230","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","Autographiviridae","Corkvirinae","Phimunavirus","Phimunavirus fM1","1211386","  758"
"TO_sample_contig_366404","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_366404","  375"
"TO_sample_contig_367815","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  227"
"TO_sample_contig_368541","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  335"
"TO_sample_contig_368961","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Streptococcus phage CHPC577","1913081","  302"
"TO_sample_contig_370083","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_370083","  381"
"TO_sample_contig_371065","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_371065"," 2543"
"TO_sample_contig_374946","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_374946","  413"
"TO_sample_contig_376736","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","unknown_order","unknown_family","unknown_subfamily","unknown_genus","Caudoviricetes sp.","2832643"," 9401"
"TO_sample_contig_378707","Viruses","Monodnaviria","Shotokuvirae","Cossaviricota","Papovaviricetes","Sepolyvirales","Polyomaviridae","unknown_subfamily","Deltapolyomavirus","Deltapolyomavirus sextihominis","746830","  768"
"TO_sample_contig_382747","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  272"
"TO_sample_contig_383039","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_383039","  344"
"TO_sample_contig_383709","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_383709"," 3056"
"TO_sample_contig_385103","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_385103","  316"
"TO_sample_contig_387545","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_387545","  355"
"TO_sample_contig_388872","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_388872"," 5558"
"TO_sample_contig_390462","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_390462","  384"
"TO_sample_contig_391657","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_391657","  416"
"TO_sample_contig_395431","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_395431","  278"
"TO_sample_contig_395954","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_395954","  281"
"TO_sample_contig_398485","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_398485","  358"
"TO_sample_contig_399294","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_399294","  293"
"TO_sample_contig_399449","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_399449","  281"
"TO_sample_contig_401718","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","Phycodnaviridae","unknown_subfamily","Raphidovirus","Heterosigma akashiwo virus 01","97195"," 1192"
"TO_sample_contig_402237","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_402237"," 4599"
"TO_sample_contig_402641","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_402641","  309"
"TO_sample_contig_413208","Viruses","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","unknown_subfamily","Gemykibivirus","Gemykibivirus hydro3","2582939","  214"
"TO_sample_contig_413743","Viruses","no_clade","no_kingdom","no_phylum","no_class","no_order","no_family","no_subfamily","no_genus","no_species","TO_sample_contig_413743","  369"
"TO_sample_contig_415185","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Chordopoxvirinae","Oryzopoxvirus","BeAn 58058 virus","67082"," 2044"
